City,State,Shape,Duration.in.seconds,Description,Date,Longitude,Latitute,Duration
Mahwah,NJ,Triangle,180,Triangle Shaped Flying Hovering U.f.o. Witnessed Over Sheraton Hotel In Mahwah Nj. On 10/10/04.,12/12/2011,41.0886111,-74.1441667,180
Terre Haute,IN,Sphere,5,Silently It Came Over My Head From Behind; As I Was Laying On My Back. About The Size Of A Thumbnail At Arms Length Was A Lite White,10/27/2004,39.4666667,-87.4138889,5
Indianapolis,IN,Oval,15,((Nuforc Note:  Possible Sighting Of A Contrail??  Pd)),10/27/2004,39.7683333,-86.1580556,15
Morgantown,WV,Circle,10,Solid Round Silver Ball Passing Over At About 3000Msl.,5/24/2005,39.6294444,-79.9561111,10
Berkeley,CA,Unknown,180,While Driving My Car In The Mid Afternoon Of A Day In The Fall Of 2004 On Hyw 580 East-Bound I Had Just Crossed The San Rafael / Richmo,5/24/2005,37.8716667,-122.2716667,180
Rock Island,IL,Sphere,3600,The Sky Was Clear  And The Objects At Times Appeared To Rotate Slowly.,10/27/2004,41.5094444,-90.5786111,3600
Ripley,NY,Circle,900,7 Red/Orange Stationary Objects Appeared Over Lake Erie On 10/10/04 For 15 Minutes And Then All Disappeared At Once.,10/27/2004,42.2669444,-79.7108333,900
Faribault,MN,Flash,900,Metor Or Craft Descending Then Sudden Flash Of Light,10/27/2004,44.295,-93.2686111,900
Mansfield,OH,Light,7200,Several Ufos One Bigger One Flew Right Over The Car.,10/27/2004,40.7583333,-82.5155556,7200
Columbia,MO,Light,60,A Light Moved Across The Sky In A Zig Zag Way Then Straightened Out And Went Straight Out Into Space In A Matter Of Seconds.,11/28/2007,38.9516667,-92.3338889,60
Gleason,WI,Sphere,3000,It Was About 9:30Pm My Friend And I Were Going To Go Out Deer Shining With My Step Dads Truck And My Friends Spotlight. We Left His Hou,9/2/2005,45.3088889,-89.4963889,3000
Seattle,WA,Other,60,Round Symetrical With Roundish Flat Bottom Shiny White Colored Low Flying Bigger Than  A Plane.,10/11/2005,47.6063889,-122.3308333,60
Apache Junction,AZ,Other,30,Half-Moon Shaped Objects That Just Winked Out,10/11/2005,33.415,-111.5488889,30
North Miami Beach,FL,Oval,1800,I Sent You An E-Mail 2 Days Ago And Really Want To Be Contacted Please  Contact Me Asap Im Not Crazy And Nether Is My Wife Please C,10/20/2005,25.9327778,-80.1627778,1800
Los Angeles,CA,Egg,10,Egg Ufo Over Hollywood Hills And Lax In Los Angeles Ca.,10/20/2005,34.0522222,-118.2427778,10
Loretto,PA,Triangle,300,Dull Red Flash Triangular Ship Vocal Noises,10/30/2006,40.5030556,-78.6305556,300
Lewisburg,TN,Unknown,240,Like A Grouping Of Balloons With A Slight Glow To Them,12/7/2006,35.4491667,-86.7888889,240
